repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
1,no-pause-80,open_loop,80,4017,4016,80.34,16.29239563782903,50.607381134650495,74.87893160519161,121.10896748653249,true
1,no-pause-80,closed_loop,80,3960,3959,79.2,9.9754400312886,20.67743367170624,28.45788423135673,47.45118970585463,true
2,no-pause-80,open_loop,80,4002,4001,80.04,16.68810148486955,51.64247824946142,77.62238639113639,102.45125872987046,true
2,no-pause-80,closed_loop,80,3956,3955,79.12,10.10968977714947,21.03121570598887,28.298353743775806,41.78393584376681,true
3,no-pause-80,open_loop,80,4042,4040,80.84,16.504546959113213,50.583028085602564,76.2108183763412,105.53380387825746,true
3,no-pause-80,closed_loop,80,3961,3961,79.22,9.876291063024837,20.395689327353466,27.254002074023447,41.57433414216939,true
4,no-pause-80,open_loop,80,4042,4039,80.84,17.121447727382474,52.04186025638592,75.07234614663685,104.04388638713135,true
4,no-pause-80,closed_loop,80,3956,3954,79.12,10.141691860066203,21.13404188890854,27.843191454725456,42.074550746958266,true
5,no-pause-80,open_loop,80,4043,4038,80.86,17.214243271228042,60.40804827238753,90.42033906925644,135.81469641159492,true
5,no-pause-80,closed_loop,80,3964,3963,79.28,9.738775728676046,20.422967205016903,26.894672607530083,42.740092017549614,true
6,no-pause-80,open_loop,80,4072,4072,81.44,17.941774967242964,59.26717959689631,82.61032839873587,115.5502134110211,true
6,no-pause-80,closed_loop,80,3950,3950,79,10.2980693556201,22.050509711589257,29.623909520152665,53.72356695163762,true
7,no-pause-80,open_loop,80,3940,3940,78.8,15.235318587074289,46.82053213578911,62.78266294523928,87.60029906034833,true
7,no-pause-80,closed_loop,80,3959,3958,79.18,9.885987317480613,20.970321662513015,27.783670259676,42.177175263637764,true
8,no-pause-80,open_loop,80,3930,3930,78.6,16.518506174990762,50.89006428629364,70.97021617850987,100.29190653129626,true
8,no-pause-80,closed_loop,80,3956,3954,79.12,9.973926419072086,21.605803183818352,29.314166565716732,54.99404368885007,true
9,no-pause-80,open_loop,80,4072,4071,81.44,17.390666646468162,58.92275728897948,81.94023141127764,102.29002894670339,true
9,no-pause-80,closed_loop,80,3957,3956,79.14,10.050149551309005,20.674828528353828,26.719187688773673,39.229189385041536,true
10,no-pause-80,open_loop,80,4020,4015,80.4,16.628578646937967,49.41329908944317,67.49748969473148,101.91925604707285,true
10,no-pause-80,closed_loop,80,3955,3954,79.1,9.956495703005203,21.36428350242204,30.044865608009786,55.99915195594076,true
11,no-pause-80,open_loop,80,4031,4031,80.62,18.016783972583653,58.66342458235158,86.81231724567988,115.59693708927443,true
11,no-pause-80,closed_loop,80,3953,3953,79.06,10.169384446722688,21.537414162587083,29.318508355674567,40.377314100278454,true
12,no-pause-80,open_loop,80,4018,4014,80.36,17.487510604583804,58.781552419670334,93.31391304718272,164.39020319913834,true
12,no-pause-80,closed_loop,80,3957,3957,79.14,10.026772118482768,21.36130670842249,28.611434909638774,40.65273623642497,true
