repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
1,no-pause-80,open_loop,80,4000,3999,80,8.78001961694099,16.40258456029551,21.12090135278413,36.45872722122658,true
1,no-pause-80,closed_loop,80,3960,3959,79.2,9.9754400312886,20.67743367170624,28.45788423135673,47.45118970585463,true
2,no-pause-80,open_loop,80,4000,4000,80,8.953794633162033,16.518825585997547,21.417240159396897,32.47549994838846,true
2,no-pause-80,closed_loop,80,3956,3955,79.12,10.10968977714947,21.03121570598887,28.298353743775806,41.78393584376681,true
3,no-pause-80,open_loop,80,4000,3999,80,8.809194698667852,16.215248825490562,20.491635009253514,31.185163828267832,true
3,no-pause-80,closed_loop,80,3961,3961,79.22,9.876291063024837,20.395689327353466,27.254002074023447,41.57433414216939,true
4,no-pause-80,open_loop,80,4000,3999,80,8.843005810529576,16.492175331477483,21.71566383640311,34.67858192325366,true
4,no-pause-80,closed_loop,80,3956,3954,79.12,10.141691860066203,21.13404188890854,27.843191454725456,42.074550746958266,true
5,no-pause-80,open_loop,80,4000,3999,80,8.926461520575685,16.507269667519722,20.84268364602758,27.05724211459892,true
5,no-pause-80,closed_loop,80,3964,3963,79.28,9.738775728676046,20.422967205016903,26.894672607530083,42.740092017549614,true
6,no-pause-80,open_loop,80,4000,3999,80,8.75095271362079,16.353193093949812,22.473551290706382,32.24569659080589,true
6,no-pause-80,closed_loop,80,3950,3950,79,10.2980693556201,22.050509711589257,29.623909520152665,53.72356695163762,true
7,no-pause-80,open_loop,80,4000,3998,80,8.890416542708408,16.51658110938297,21.674005412111,33.96621292645432,true
7,no-pause-80,closed_loop,80,3959,3958,79.18,9.885987317480613,20.970321662513015,27.783670259676,42.177175263637764,true
8,no-pause-80,open_loop,80,4000,3999,80,8.996349759720033,16.75366085650785,21.66473034734372,29.222976424964145,true
8,no-pause-80,closed_loop,80,3956,3954,79.12,9.973926419072086,21.605803183818352,29.314166565716732,54.99404368885007,true
9,no-pause-80,open_loop,80,4000,4000,80,8.974756996271026,16.244168374309083,20.487700802870677,33.695983440240525,true
9,no-pause-80,closed_loop,80,3957,3956,79.14,10.050149551309005,20.674828528353828,26.719187688773673,39.229189385041536,true
10,no-pause-80,open_loop,80,4000,3999,80,8.930335590332106,16.56120909013407,20.375364301580703,33.24963233926246,true
10,no-pause-80,closed_loop,80,3955,3954,79.1,9.956495703005203,21.36428350242204,30.044865608009786,55.99915195594076,true
11,no-pause-80,open_loop,80,4000,4000,80,8.987081551968004,16.515652405319997,20.961379464919446,32.97255476023565,true
11,no-pause-80,closed_loop,80,3953,3953,79.06,10.169384446722688,21.537414162587083,29.318508355674567,40.377314100278454,true
12,no-pause-80,open_loop,80,4000,3999,80,8.920792070261086,16.68409447295562,21.556609150349686,32.70099547346763,true
