load_per_second,fault_shape,policy,repeat,requests,success_rate,attempt_amplification,p95_latency_seconds,peak_attempts_per_second,overload_failures,fault_failures,retries_denied,bad_tick_fraction
60,independent,no_retry,0,18309,0.949423780654323,1.0,0.0,86,236,690,0,1.0
60,independent,immediate_three,0,18309,0.9996722923152548,1.055273362827025,0.1,117,377,641,0,1.0
60,independent,exponential_no_jitter,0,18309,0.9997815282101699,1.058550439674477,0.5,93,372,704,0,1.0
60,independent,exponential_full_jitter,0,18309,0.9997815282101699,1.054672565404992,0.1,103,343,662,0,1.0
60,independent,budgeted_full_jitter,0,18309,0.9995084384728822,1.0540717679829592,0.1,103,337,662,7,1.0
60,independent,no_retry,1,18205,0.9480362537764351,1.0,0.0,87,263,683,0,1.0
60,independent,immediate_three,1,18205,0.999780280142818,1.0611370502609174,0.1,100,413,704,0,1.0
60,independent,exponential_no_jitter,1,18205,0.9996704202142268,1.0594891513320517,0.5,92,406,683,0,1.0
60,independent,exponential_full_jitter,1,18205,0.999780280142818,1.0571820928316396,0.1,99,387,658,0,1.0
60,independent,budgeted_full_jitter,1,18205,0.9999450700357044,1.0583905520461412,0.1,96,396,668,0,1.0
60,independent,no_retry,2,17995,0.9499305362600723,1.0,0.0,90,262,639,0,1.0
60,independent,immediate_three,2,17995,0.9994442900805779,1.05768268963601,0.1,111,433,615,0,1.0
60,independent,exponential_no_jitter,2,17995,0.999722145040289,1.0584606835232009,0.5,99,403,654,0,1.0
60,independent,exponential_full_jitter,2,17995,0.9997777160322312,1.0584606835232009,0.1,113,383,673,0,1.0
60,independent,budgeted_full_jitter,2,17995,0.9998332870241734,1.0565712697971659,0.1,103,388,633,0,1.0
60,independent,no_retry,3,17998,0.9525502833648183,1.0,0.0,89,205,649,0,1.0
60,independent,immediate_three,3,17998,0.999777753083676,1.0531725747305256,0.0,97,311,650,0,1.0
60,independent,exponential_no_jitter,3,17998,0.999833314812757,1.055228358706523,0.5,94,302,695,0,1.0
60,independent,exponential_full_jitter,3,17998,0.999944438270919,1.0561173463718192,0.1,99,295,716,0,1.0
60,independent,budgeted_full_jitter,3,17998,0.999888876541838,1.055172796977442,0.1,96,296,699,0,1.0
60,independent,no_retry,4,17915,0.9537259279933017,1.0,0.0,86,234,595,0,1.0
60,independent,immediate_three,4,17915,0.9997209042701647,1.0597264861847613,0.1,110,358,717,0,1.0
60,independent,exponential_no_jitter,4,17915,0.9996092659782305,1.0570471671783421,0.5,93,375,654,0,1.0
60,independent,exponential_full_jitter,4,17915,0.9998325425620987,1.0554284119452972,0.1,100,334,662,0,1.0
60,independent,budgeted_full_jitter,4,17915,0.9998325425620987,1.0579402735138153,0.1,95,340,701,0,1.0
60,independent,no_retry,5,17848,0.9542805916629314,1.0,0.0,91,207,609,0,1.0
60,independent,immediate_three,5,17848,0.9996638278798745,1.0552442850739578,0.1,127,323,669,0,1.0
60,independent,exponential_no_jitter,5,17848,0.9996077991931869,1.0527229941730165,0.0,103,326,622,0,1.0
60,independent,exponential_full_jitter,5,17848,0.9999439713133124,1.0536754818467056,0.1,121,321,638,0,1.0
