scenario,repeat,policy,completionRate,p50Latency,p95Latency,p99Latency,workSecondsPerRequest,hedgeRate,hedgeWinRate,maxQueueDepth,canceledQueuedPerRequest
moderate_independent,0,no_hedge,1,0.19378690636021645,1.4546012650038733,3.336826148829667,0.31707473654974294,0,0,2,0
moderate_independent,0,fixed_250ms,1,0.19328873947860004,0.42888514105742104,0.5387365069385481,0.2426084186422828,0.28875,0.2748917748917749,2,0.28875
moderate_independent,0,fixed_500ms,1,0.19281743625041514,0.6044100877498728,0.7799861144112903,0.2406864835072563,0.0625,0.83,2,0.0625
moderate_independent,0,queue_capped_250ms,1,0.19328873947860004,0.42888514105742104,0.5387365069385481,0.2426084186422828,0.28875,0.2748917748917749,2,0.28875
moderate_independent,1,no_hedge,1,0.19715584416074705,1.2169176308274956,3.2406362495986265,0.3133960401819802,0,0,2,0
moderate_independent,1,fixed_250ms,1,0.19608360796073754,0.44167820208183173,0.755779562691417,0.25049803602543597,0.29125,0.2811158798283262,4,0.290625
moderate_independent,1,fixed_500ms,1,0.1959644537353853,0.6105825173184911,0.8156289814115354,0.24840911697388424,0.070625,0.7345132743362832,3,0.070625
moderate_independent,1,queue_capped_250ms,1,0.19608360796073754,0.44167820208183173,0.7670193953412836,0.25350327151276353,0.28375,0.28193832599118945,3,0.283125
moderate_independent,2,no_hedge,1,0.1945506842795055,1.226917928657505,3.10051539739527,0.30935195635925616,0,0,2,0
moderate_independent,2,fixed_250ms,1,0.19220172046830442,0.398215176838562,0.5320531171061162,0.2356577635822678,0.28875,0.2619047619047619,2,0.28875
moderate_independent,2,fixed_500ms,1,0.19153852467991328,0.584486054664481,0.7820531171060665,0.2348712295658494,0.060625,0.8041237113402062,2,0.060625
moderate_independent,2,queue_capped_250ms,1,0.19220172046830442,0.398215176838562,0.5320531171061162,0.2356577635822678,0.28875,0.2619047619047619,2,0.28875
moderate_independent,3,no_hedge,1,0.19354770571393587,0.5672183782176035,3.35629375480711,0.29947316364787097,0,0,3,0
moderate_independent,3,fixed_250ms,1,0.19102853828597688,0.4120090512547847,0.49795093925038714,0.24096488321759185,0.28125,0.23777777777777778,2,0.28125
moderate_independent,3,fixed_500ms,1,0.19102853828597688,0.5294197230975293,0.7364004654286269,0.23500938301117913,0.05125,0.7560975609756098,2,0.05125
moderate_independent,3,queue_capped_250ms,1,0.19102853828597688,0.4120090512547847,0.49795093925038714,0.24096488321759185,0.28125,0.23777777777777778,2,0.28125
moderate_independent,4,no_hedge,1,0.1969112644611073,1.805868761899319,3.951735551732469,0.3301730132954324,0,0,2,0
moderate_independent,4,fixed_250ms,1,0.18914768622840583,0.42369581681609114,0.5304468076519058,0.2449305924111826,0.29,0.28448275862068967,2,0.29
moderate_independent,4,fixed_500ms,1,0.18853007491142648,0.6167746694230232,0.7456576763773732,0.2445085038436363,0.0675,0.8148148148148148,2,0.0675
moderate_independent,4,queue_capped_250ms,1,0.18914768622840583,0.42369581681609114,0.5304468076519058,0.2449305924111826,0.29,0.28448275862068967,2,0.29
moderate_independent,5,no_hedge,1,0.20058978527043791,1.8499984510764165,3.7610156839506885,0.3432367750583468,0,0,2,0
moderate_independent,5,fixed_250ms,1,0.19755652964300907,0.437672479507329,0.651057375391666,0.25947962302205346,0.298125,0.29979035639413,2,0.2975
moderate_independent,5,fixed_500ms,1,0.19706543980507973,0.631925179944389,0.806009533350931,0.25711762032089347,0.071875,0.808695652173913,2,0.071875
moderate_independent,5,queue_capped_250ms,1,0.19755652964300907,0.437672479507329,0.651057375391666,0.25947962302205346,0.298125,0.29979035639413,2,0.2975
moderate_independent,6,no_hedge,1,0.19805996244778612,1.961209695764552,3.8289622155183167,0.34672150828962905,0,0,2,0
moderate_independent,6,fixed_250ms,1,0.19380709736380908,0.4374420926959033,0.5777208631325124,0.2521830191622472,0.293125,0.29850746268656714,2,0.293125
moderate_independent,6,fixed_500ms,1,0.19441195726586025,0.6209880618311914,0.8312456297053075,0.25381984841258576,0.074375,0.8319327731092437,2,0.074375
moderate_independent,6,queue_capped_250ms,1,0.19380709736380908,0.4374420926959033,0.5777208631325124,0.2521830191622472,0.293125,0.29850746268656714,2,0.293125
moderate_independent,7,no_hedge,1,0.19080665649143214,0.6284567798013683,3.4760485753269563,0.3036598421955332,0,0,2,0
moderate_independent,7,fixed_250ms,1,0.18917513580120726,0.41698151649993065,0.5668954888977566,0.24531737079480936,0.273125,0.2585812356979405,2,0.2725
moderate_independent,7,fixed_500ms,1,0.18917513580120726,0.5440593339512105,0.8142187880985432,0.24180667132444744,0.05375,0.8023255813953488,2,0.053125
moderate_independent,7,queue_capped_250ms,1,0.18917513580120726,0.41698151649993065,0.5668954888977566,0.24531737079480936,0.273125,0.2585812356979405,2,0.2725
moderate_independent,8,no_hedge,1,0.19699768046174526,1.8951496808965516,3.891191307487915,0.3446751836288175,0,0,2,0
moderate_independent,8,fixed_250ms,1,0.1908781723990245,0.4292000439497059,0.5926870863162321,0.24709156127409063,0.29125,0.3090128755364807,2,0.29125
moderate_independent,8,fixed_500ms,1,0.19075882538476563,0.6375979159079748,0.799531581586777,0.24878865202227426,0.069375,0.8468468468468469,2,0.069375
moderate_independent,8,queue_capped_250ms,1,0.1908781723990245,0.4292000439497059,0.5926870863162321,0.24709156127409063,0.29125,0.3090128755364807,2,0.29125
moderate_independent,9,no_hedge,1,0.19367094946673546,1.5529115824207125,3.250668822184359,0.3172715984372125,0,0,2,0
moderate_independent,9,fixed_250ms,1,0.19039909358271956,0.42122311622659936,0.5485537771976325,0.24685295486165565,0.285625,0.29321663019693656,2,0.285625
moderate_independent,9,fixed_500ms,1,0.19088137932421745,0.5945872743290002,0.7478464777593068,0.2461578539947361,0.064375,0.7378640776699029,2,0.064375
moderate_independent,9,queue_capped_250ms,1,0.19039909358271956,0.42122311622659936,0.5485537771976325,0.24685295486165565,0.285625,0.29321663019693656,2,0.285625
moderate_independent,10,no_hedge,1,0.19201740686698088,0.9270939306507984,3.417018267658918,0.31864458336812984,0,0,2,0
moderate_independent,10,fixed_250ms,1,0.1902944328192433,0.42988142218855785,0.5699312675809551,0.2472843577114322,0.2675,0.3037383177570093,2,0.266875
moderate_independent,10,fixed_500ms,1,0.1904872590376172,0.5844721245888849,0.8199312675809054,0.2446133739667256,0.060625,0.7319587628865979,2,0.060625
moderate_independent,10,queue_capped_250ms,1,0.1902944328192433,0.42988142218855785,0.5699312675809551,0.2472843577114322,0.2675,0.3037383177570093,2,0.266875
moderate_independent,11,no_hedge,1,0.19439674464445744,1.1311249698356676,3.3947164263671255,0.31403132729363553,0,0,2,0
moderate_independent,11,fixed_250ms,1,0.19249520619590932,0.42805637148352105,0.5678197646343932,0.23935591863134698,0.2775,0.2635135135135135,2,0.2775
moderate_independent,11,fixed_500ms,1,0.19108665963703686,0.6066245308940346,0.8033011950356581,0.23727175308387188,0.06,0.8229166666666666,2,0.06
moderate_independent,11,queue_capped_250ms,1,0.19249520619590932,0.42805637148352105,0.5678197646343932,0.23935591863134698,0.2775,0.2635135135135135,2,0.2775
moderate_independent,12,no_hedge,1,0.19047750274336295,1.1855460584842916,3.294809852653856,0.3130482112345464,0,0,2,0
moderate_independent,12,fixed_250ms,1,0.18987029380470233,0.413740511558899,0.5223240033229217,0.24084423290455437,0.283125,0.27593818984547464,2,0.2825
moderate_independent,12,fixed_500ms,1,0.18963887577528027,0.5914895508738596,0.76261678433508,0.23927626874049351,0.061875,0.8080808080808081,2,0.06125
moderate_independent,12,queue_capped_250ms,1,0.18987029380470233,0.413740511558899,0.5223240033229217,0.24084423290455437,0.283125,0.27593818984547464,2,0.2825
moderate_independent,13,no_hedge,1,0.19647601492468425,1.288296303508119,3.5529048794621048,0.32347771719151114,0,0,2,0
moderate_independent,13,fixed_250ms,1,0.1947881158830569,0.42619945957350325,0.564850453097705,0.24783544455503584,0.291875,0.2569593147751606,2,0.291875
moderate_independent,13,fixed_500ms,1,0.19502408447636554,0.6070405538555121,0.7974922855633366,0.2455623322655404,0.063125,0.7920792079207921,2,0.063125
moderate_independent,13,queue_capped_250ms,1,0.1947881158830569,0.42619945957350325,0.564850453097705,0.24783544455503584,0.291875,0.2569593147751606,2,0.291875
moderate_independent,14,no_hedge,1,0.1912972531878392,1.2921490155417814,3.477692357120688,0.3131435319797216,0,0,2,0
moderate_independent,14,fixed_250ms,1,0.19010595055756596,0.421720828350729,0.5712079582827867,0.24196018870955135,0.27375,0.2899543378995434,2,0.27375
moderate_independent,14,fixed_500ms,1,0.19010595055756596,0.6099868187266679,0.798876954430078,0.24214443526446286,0.063125,0.8118811881188119,2,0.0625
moderate_independent,14,queue_capped_250ms,1,0.19010595055756596,0.421720828350729,0.5712079582827867,0.24196018870955135,0.27375,0.2899543378995434,2,0.27375
moderate_independent,15,no_hedge,0.999375,0.19165408168267106,1.5156869186837767,3.3899383858922523,0.3287359191149136,0,0,2,0
moderate_independent,15,fixed_250ms,1,0.18838459130391527,0.43983225049552743,0.6590092164567594,0.25080299437351494,0.2775,0.2927927927927928,2,0.276875
moderate_independent,15,fixed_500ms,1,0.1882092525168133,0.6262705154859134,0.8328184841302146,0.24920963098318655,0.068125,0.7614678899082569,2,0.068125
moderate_independent,15,queue_capped_250ms,1,0.18838459130391527,0.43983225049552743,0.6590092164567594,0.25080299437351494,0.2775,0.2927927927927928,2,0.276875
moderate_independent,16,no_hedge,1,0.19001310840744168,0.591609217284855,2.7999567686708957,0.283308969872613,0,0,2,0
moderate_independent,16,fixed_250ms,1,0.18861442099325743,0.3984665047767635,0.5203063367450227,0.22807260713543084,0.258125,0.24455205811138014,2,0.258125
moderate_independent,16,fixed_500ms,1,0.18861442099325743,0.5044482429559167,0.7288095440664364,0.22598806747211872,0.05125,0.7804878048780488,2,0.05125
moderate_independent,16,queue_capped_250ms,1,0.18861442099325743,0.3984665047767635,0.5203063367450227,0.22807260713543084,0.258125,0.24455205811138014,2,0.258125
moderate_independent,17,no_hedge,0.999375,0.19639009043134337,2.1018074255530097,3.6292534162408643,0.3577852280135487,0,0,3,0
moderate_independent,17,fixed_250ms,1,0.19081385578348886,0.4364522962575421,0.5756065202017133,0.2518022698513144,0.281875,0.3170731707317073,3,0.281875
moderate_independent,17,fixed_500ms,1,0.19064491799667138,0.6512921516865937,0.8730720386267796,0.2554952830935028,0.079375,0.8346456692913385,3,0.079375
moderate_independent,17,queue_capped_250ms,1,0.19081385578348886,0.4364522962575421,0.5756065202017133,0.2518022698513144,0.281875,0.3170731707317073,3,0.281875
moderate_independent,18,no_hedge,1,0.19397110714964394,1.6117516472971687,3.871474210868123,0.3240708431929814,0,0,2,0
moderate_independent,18,fixed_250ms,1,0.19028566915440592,0.4287102648479255,0.5820942310176065,0.2448557791576984,0.281875,0.31042128603104213,2,0.280625
moderate_independent,18,fixed_500ms,1,0.19028566915440592,0.6095957090280848,0.8284279268812966,0.2438374054120599,0.065625,0.7904761904761904,2,0.065
