model,pattern,rate,repeat,policy,throughput_rps,drop_rate,p50_ms,p95_ms,p99_ms,slo_attainment,mean_batch_size
batch-efficient,poisson,90,0,single,86.44,0,7.819293526088586,21.296873456129106,29.654093053341057,0.977325312355391,1
batch-efficient,poisson,90,0,b4-now,86.44,0,6.418034005429945,12.563911215278495,13.372017271522054,1,1.1368812965396409
batch-efficient,poisson,90,0,b4-2ms,86.44,0,8.400000000001455,12.560533123953064,13.339108815311192,1,1.2280577241542465
batch-efficient,poisson,90,0,b8-2ms,86.44,0,8.400000000001455,12.559656860314135,13.329442880181887,1,1.2280577241542465
batch-efficient,poisson,90,0,b8-5ms,86.44,0,11.400000000001455,12.694549869615003,13.377539424407587,1,1.3872260823089257
batch-efficient,poisson,90,0,b16-5ms,86.44,0,11.400000000001455,12.694549869615003,13.377539424407587,1,1.3872260823089257
batch-efficient,poisson,90,0,b16-10ms,86.44,0,12.98996047752371,17.48504251527629,17.941887789405882,1,1.6201622971285892
batch-efficient,poisson,90,1,single,89.78,0,8.249375734354544,22.180539682080052,30.282882588609937,0.9719313878369348,1
batch-efficient,poisson,90,1,b4-now,89.78,0,6.765221865276544,12.581952996493783,13.340164337052556,1,1.1417372881355932
batch-efficient,poisson,90,1,b4-2ms,89.78,0,8.400000000001455,12.548217937874142,13.40989589837227,1,1.240561694290976
batch-efficient,poisson,90,1,b8-2ms,89.78,0,8.400000000001455,12.548217937874142,13.40989589837227,1,1.2408473405480083
batch-efficient,poisson,90,1,b8-5ms,89.78,0,11.400000000001455,12.69464594515739,13.427437487735006,1,1.3889175257731958
batch-efficient,poisson,90,1,b16-5ms,89.78,0,11.400000000001455,12.69464594515739,13.427437487735006,1,1.3889175257731958
batch-efficient,poisson,90,1,b16-10ms,89.78,0,12.85412707957039,17.48504251527629,17.941887789405882,1,1.6404870624048706
batch-efficient,poisson,90,2,single,90.4,0,8.197436193957401,23.751005213744065,33.30580845804798,0.9597345132743362,1
batch-efficient,poisson,90,2,b4-now,90.4,0,6.714761712366453,12.557122871505271,13.3087315987068,1,1.1442838929026775
batch-efficient,poisson,90,2,b4-2ms,90.4,0,8.400000000001455,12.667589422275341,13.482633112584153,1,1.2473940236275192
batch-efficient,poisson,90,2,b8-2ms,90.4,0,8.400000000001455,12.667549000860163,13.482633112584153,1,1.2473940236275192
batch-efficient,poisson,90,2,b8-5ms,90.4,0,11.400000000001455,12.688390728530067,13.664347223781078,1,1.4008844953173778
batch-efficient,poisson,90,2,b16-5ms,90.4,0,11.400000000001455,12.688390728530067,13.664347223781078,1,1.4008844953173778
batch-efficient,poisson,90,2,b16-10ms,90.4,0,12.983599725605018,17.48504251527629,17.941887789405882,1,1.6437728937728937
batch-efficient,poisson,90,3,single,89.5,0,8.55752016758197,24.428377289979835,34.79595163361955,0.9553072625698324,1
