scenario,repeat,policy,trueRate,estimate,biasPoints,promotion,discordantRate,coverage,escalationRate
focal_both_biases,0,single_candidate_first,0.452,0.638,18.6,1,0,1,0
focal_both_biases,0,randomized_single,0.452,0.552,10.000000000000004,1,0,1,0
focal_both_biases,0,swap_drop_discordant,0.452,0.5497512437810945,9.775124378109451,1,0.196,0.804,0
focal_both_biases,0,swap_tie_aware,0.452,0.54,8.800000000000002,1,0.196,1,0
focal_both_biases,0,swap_escalate_discordant,0.452,0.532,8.000000000000002,1,0.196,1,0.196
focal_both_biases,0,truth_reference,0.452,0.452,0,0,0,1,0
focal_both_biases,1,single_candidate_first,0.48,0.654,17.400000000000006,1,0,1,0
focal_both_biases,1,randomized_single,0.48,0.524,4.400000000000004,1,0,1,0
focal_both_biases,1,swap_drop_discordant,0.48,0.5552699228791774,7.526992287917745,1,0.222,0.778,0
focal_both_biases,1,swap_tie_aware,0.48,0.543,6.300000000000006,1,0.222,1,0
focal_both_biases,1,swap_escalate_discordant,0.48,0.538,5.800000000000005,1,0.222,1,0.222
focal_both_biases,1,truth_reference,0.48,0.48,0,0,0,1,0
focal_both_biases,2,single_candidate_first,0.474,0.654,18.000000000000004,1,0,1,0
focal_both_biases,2,randomized_single,0.474,0.552,7.800000000000007,1,0,1,0
focal_both_biases,2,swap_drop_discordant,0.474,0.5696517412935324,9.565174129353238,1,0.196,0.804,0
focal_both_biases,2,swap_tie_aware,0.474,0.556,8.200000000000006,1,0.196,1,0
focal_both_biases,2,swap_escalate_discordant,0.474,0.546,7.200000000000006,1,0.196,1,0.196
focal_both_biases,2,truth_reference,0.474,0.474,0,0,0,1,0
focal_both_biases,3,single_candidate_first,0.476,0.68,20.400000000000006,1,0,1,0
focal_both_biases,3,randomized_single,0.476,0.542,6.600000000000006,1,0,1,0
focal_both_biases,3,swap_drop_discordant,0.476,0.5789473684210527,10.294736842105268,1,0.24,0.76,0
focal_both_biases,3,swap_tie_aware,0.476,0.56,8.400000000000007,1,0.24,1,0
