dataset,query_id,method,ndcg10,recall100,mrr
scifact,1,unigram_bm25,0.0,0.0,0.0
scifact,3,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,5,unigram_bm25,1.0,1.0,1.0
scifact,13,unigram_bm25,0.0,1.0,0.011904761904761904
scifact,36,unigram_bm25,0.19342640361727081,1.0,0.125
scifact,42,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,48,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,49,unigram_bm25,1.0,1.0,1.0
scifact,50,unigram_bm25,1.0,1.0,1.0
scifact,51,unigram_bm25,1.0,1.0,1.0
scifact,53,unigram_bm25,1.0,1.0,1.0
scifact,54,unigram_bm25,0.0,1.0,0.09090909090909091
scifact,56,unigram_bm25,1.0,1.0,1.0
scifact,57,unigram_bm25,1.0,1.0,1.0
scifact,70,unigram_bm25,1.0,1.0,1.0
scifact,72,unigram_bm25,0.31546487678572877,1.0,0.125
scifact,75,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,94,unigram_bm25,1.0,1.0,1.0
scifact,99,unigram_bm25,1.0,1.0,1.0
scifact,100,unigram_bm25,1.0,1.0,1.0
scifact,113,unigram_bm25,1.0,1.0,1.0
scifact,115,unigram_bm25,1.0,1.0,1.0
scifact,118,unigram_bm25,1.0,1.0,1.0
scifact,124,unigram_bm25,1.0,1.0,1.0
scifact,127,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,128,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,129,unigram_bm25,1.0,1.0,1.0
scifact,130,unigram_bm25,1.0,1.0,1.0
scifact,132,unigram_bm25,0.0,0.0,0.0030581039755351682
scifact,133,unigram_bm25,0.3391602052736161,0.8,1.0
scifact,137,unigram_bm25,1.0,1.0,1.0
scifact,141,unigram_bm25,0.9197207891481876,1.0,1.0
scifact,142,unigram_bm25,1.0,1.0,1.0
scifact,143,unigram_bm25,1.0,1.0,1.0
scifact,146,unigram_bm25,1.0,1.0,1.0
scifact,148,unigram_bm25,1.0,1.0,1.0
scifact,163,unigram_bm25,1.0,1.0,1.0
scifact,171,unigram_bm25,1.0,1.0,1.0
scifact,179,unigram_bm25,0.6984152163370878,1.0,1.0
scifact,180,unigram_bm25,1.0,1.0,1.0
scifact,183,unigram_bm25,0.3010299956639812,1.0,0.1111111111111111
scifact,185,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,198,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,208,unigram_bm25,1.0,1.0,1.0
scifact,212,unigram_bm25,0.43067655807339306,1.0,0.25
scifact,213,unigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,216,unigram_bm25,1.0,1.0,1.0
scifact,217,unigram_bm25,1.0,1.0,1.0
scifact,218,unigram_bm25,1.0,1.0,1.0
scifact,219,unigram_bm25,1.0,1.0,1.0
scifact,230,unigram_bm25,1.0,1.0,1.0
scifact,232,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,233,unigram_bm25,1.0,1.0,1.0
scifact,236,unigram_bm25,1.0,1.0,1.0
scifact,237,unigram_bm25,1.0,1.0,1.0
scifact,238,unigram_bm25,0.0,1.0,0.045454545454545456
scifact,239,unigram_bm25,0.0,0.0,0.006097560975609756
scifact,248,unigram_bm25,1.0,1.0,1.0
scifact,249,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,261,unigram_bm25,0.2640681225725909,0.5,0.25
scifact,268,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,269,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,274,unigram_bm25,1.0,1.0,1.0
scifact,275,unigram_bm25,0.46927872602275644,0.6666666666666666,1.0
scifact,279,unigram_bm25,1.0,1.0,1.0
scifact,294,unigram_bm25,1.0,1.0,1.0
scifact,295,unigram_bm25,1.0,1.0,1.0
scifact,298,unigram_bm25,1.0,1.0,1.0
scifact,300,unigram_bm25,0.31546487678572877,1.0,0.125
scifact,303,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,312,unigram_bm25,0.3333333333333333,1.0,0.14285714285714285
scifact,314,unigram_bm25,0.38685280723454163,1.0,0.2
scifact,324,unigram_bm25,0.38685280723454163,1.0,0.2
scifact,327,unigram_bm25,1.0,1.0,1.0
scifact,338,unigram_bm25,1.0,1.0,1.0
scifact,343,unigram_bm25,0.5706417189553201,1.0,0.3333333333333333
scifact,350,unigram_bm25,1.0,1.0,1.0
scifact,354,unigram_bm25,1.0,1.0,1.0
scifact,362,unigram_bm25,1.0,1.0,1.0
scifact,380,unigram_bm25,1.0,1.0,1.0
scifact,384,unigram_bm25,0.0,1.0,0.058823529411764705
