repeat,condition,endpoint,deadline,successRate,completedOnlyP95,deadlineAwareP95,latentP95,restrictedMean,timeoutRate
0,main,steady,2,0.8108,1.927475840809726,2,2.4137258271949458,1.596431071451825,0.18920000000000003
0,main,fast_spiky,2,0.9374,1.2518580455344899,2,9.633991665067434,0.9878164272389129,0.06259999999999999
0,no_tail_control,fast_spiky,2,1,1.2505379428428207,1.2505379428428207,1.2505379428428207,0.919949122744897,0
0,main,steady,4,1,2.4137258271949458,2.4137258271949458,2.4137258271949458,1.6544975663157653,0
0,main,fast_spiky,4,0.9374,1.2518580455344899,4,9.633991665067434,1.1130164272389147,0.06259999999999999
0,no_tail_control,fast_spiky,4,1,1.2505379428428207,1.2505379428428207,1.2505379428428207,0.919949122744897,0
0,main,steady,8,1,2.4137258271949458,2.4137258271949458,2.4137258271949458,1.6544975663157653,0
0,main,fast_spiky,8,0.941,1.2610214146545946,8,9.633991665067434,1.3608900946339602,0.05900000000000005
0,no_tail_control,fast_spiky,8,1,1.2505379428428207,1.2505379428428207,1.2505379428428207,0.919949122744897,0
0,main,steady,16,1,2.4137258271949458,2.4137258271949458,2.4137258271949458,1.6544975663157653,0
0,main,fast_spiky,16,0.992,8.31019850753722,9.633991665067434,9.633991665067434,1.6247712372106606,0.008000000000000007
0,no_tail_control,fast_spiky,16,1,1.2505379428428207,1.2505379428428207,1.2505379428428207,0.919949122744897,0
1,main,steady,2,0.816,1.9385029387944424,2,2.39735723384673,1.5975237686907606,0.18400000000000005
1,main,fast_spiky,2,0.9426,1.2430694577287056,2,9.024822604849675,0.9811731038255648,0.05740000000000001
1,no_tail_control,fast_spiky,2,1,1.2437489476832433,1.2437489476832433,1.2437489476832433,0.9193118596981572,0
1,main,steady,4,0.9998,2.39735723384673,2.39735723384673,2.39735723384673,1.653082084455578,0.00019999999999997797
1,main,fast_spiky,4,0.9426,1.2430694577287056,4,9.024822604849675,1.0959731038255645,0.05740000000000001
1,no_tail_control,fast_spiky,4,1,1.2437489476832433,1.2437489476832433,1.2437489476832433,0.9193118596981572,0
1,main,steady,8,1,2.39735723384673,2.39735723384673,2.39735723384673,1.6530832164465163,0
1,main,fast_spiky,8,0.9458,1.2498540503089497,8,9.024822604849675,1.3228569411474367,0.054200000000000026
1,no_tail_control,fast_spiky,8,1,1.2437489476832433,1.2437489476832433,1.2437489476832433,0.9193118596981572,0
1,main,steady,16,1,2.39735723384673,2.39735723384673,2.39735723384673,1.6530832164465163,0
1,main,fast_spiky,16,0.9946,7.792472148084347,9.024822604849675,9.024822604849675,1.5579826074561676,0.00539999999999996
1,no_tail_control,fast_spiky,16,1,1.2437489476832433,1.2437489476832433,1.2437489476832433,0.9193118596981572,0
2,main,steady,2,0.8188,1.9328424146662568,2,2.4003976874978963,1.5927558709433909,0.18120000000000003
2,main,fast_spiky,2,0.935,1.2446264471682733,2,9.664838598271158,0.9864308738551993,0.06499999999999995
2,no_tail_control,fast_spiky,2,1,1.2450106976207316,1.2450106976207316,1.2450106976207316,0.917086080240525,0
2,main,steady,4,1,2.4003976874978963,2.4003976874978963,2.4003976874978963,1.6482050099255567,0
2,main,fast_spiky,4,0.935,1.2446264471682733,4,9.664838598271158,1.1164308738552031,0.06499999999999995
2,no_tail_control,fast_spiky,4,1,1.2450106976207316,1.2450106976207316,1.2450106976207316,0.917086080240525,0
2,main,steady,8,1,2.4003976874978963,2.4003976874978963,2.4003976874978963,1.6482050099255567,0
2,main,fast_spiky,8,0.94,1.2566654135470365,8,9.664838598271158,1.3722684720731706,0.06000000000000005
