workload,rate,repeat,requests,mean_tokens,p50_tokens,p95_tokens,p99_tokens,long_fraction
heavy-tail,2.5,0,780,960.6730769230769,267,5125,8000,0.191025641025641
heavy-tail,2.5,1,772,979.740932642487,288,4955,8000,0.211139896373057
heavy-tail,2.5,2,779,941.1501925545572,305,4336,8000,0.2092426187419769
heavy-tail,2.5,3,752,888.4109042553191,292,4610,8000,0.18218085106382978
heavy-tail,2.5,4,767,969.4758800521512,277,4406,6926,0.21773142112125163
heavy-tail,2.5,5,742,927.7735849056604,275,4432,8000,0.1967654986522911
heavy-tail,2.5,6,768,959.48828125,300,4275,8000,0.20572916666666666
heavy-tail,2.5,7,744,944.3534946236559,288,4773,7797,0.19086021505376344
heavy-tail,2.5,8,747,908.9986613119144,278,4474,8000,0.17670682730923695
heavy-tail,2.5,9,809,919.6427688504326,284,4359,7008,0.19901112484548825
heavy-tail,2.5,10,760,935.1289473684211,275,4736,6882,0.19210526315789472
heavy-tail,2.5,11,767,924.9113428943938,291,4173,8000,0.19947848761408082
heavy-tail,2.5,12,722,936.8240997229917,281,4254,7618,0.20221606648199447
heavy-tail,2.5,13,736,974.3926630434783,305,4606,7328,0.20516304347826086
heavy-tail,2.5,14,715,913.2111888111888,283,5124,7630,0.1902097902097902
heavy-tail,2.5,15,728,877.2293956043956,276,4581,8000,0.1662087912087912
heavy-tail,2.5,16,714,934.6344537815127,282,4448,7754,0.19607843137254902
heavy-tail,2.5,17,767,999.5958279009127,289,4409,8000,0.22033898305084745
heavy-tail,2.5,18,821,1031.3483556638246,297,5067,8000,0.22289890377588306
heavy-tail,2.5,19,741,929.2024291497976,278,4598,7578,0.19838056680161945
heavy-tail,2.5,20,750,1007.1386666666667,285,4932,8000,0.212
heavy-tail,2.5,21,788,863.9162436548223,278,4286,7990,0.16751269035532995
heavy-tail,2.5,22,717,958.6373779637378,295,4999,7924,0.19386331938633194
heavy-tail,2.5,23,757,939.2073976221928,301,5296,8000,0.18758256274768825
heavy-tail,2.5,24,735,899.356462585034,283,4238,7434,0.19047619047619047
heavy-tail,2.5,25,767,947.8930899608865,287,4517,8000,0.20860495436766624
heavy-tail,2.5,26,762,880.7729658792651,273,4563,8000,0.18110236220472442
heavy-tail,2.5,27,760,920.7210526315789,284,4425,7943,0.2
heavy-tail,2.5,28,766,933.6005221932115,298,4315,8000,0.21148825065274152
heavy-tail,2.5,29,780,881.3089743589744,281,4270,7273,0.2012820512820513
heavy-tail,2.5,30,742,932.4380053908355,287,4350,8000,0.20215633423180593
heavy-tail,2.5,31,706,908.3215297450425,290,4411,8000,0.18271954674220964
heavy-tail,2.5,32,769,917.2847854356307,286,4398,7793,0.19635890767230169
heavy-tail,2.5,33,710,1000.3014084507042,304,4885,7974,0.2211267605633803
heavy-tail,2.5,34,715,1030.102097902098,296,5191,7504,0.2153846153846154
heavy-tail,2.5,35,776,1002.4407216494845,293,4936,7101,0.22422680412371135
heavy-tail,2.5,36,728,878.4326923076923,288,4282,7408,0.19917582417582416
heavy-tail,2.5,37,768,906.9622395833334,290,4128,8000,0.18880208333333334
heavy-tail,2.5,38,753,944.1766268260292,287,4607,7147,0.2058432934926959
heavy-tail,2.5,39,746,961.5455764075067,290,4585,8000,0.19436997319034852
heavy-tail,2.5,40,767,1076.5710560625814,307,4970,7250,0.2438070404172099
heavy-tail,2.5,41,695,937.178417266187,287,4568,8000,0.20287769784172663
heavy-tail,2.5,42,670,991.4104477611941,288,4818,7631,0.22238805970149253
heavy-tail,2.5,43,722,985.3601108033241,294,4706,7927,0.21606648199445982
heavy-tail,2.5,44,758,908.7018469656992,292,4257,7671,0.19656992084432717
heavy-tail,2.5,45,711,962.42194092827,291,4697,8000,0.2011251758087201
heavy-tail,2.5,46,743,944.9798115746971,295,4231,7255,0.20861372812920592
heavy-tail,2.5,47,773,934.6714100905563,284,4730,7511,0.1927554980595084
heavy-tail,2.5,48,776,972.1829896907217,288,4848,8000,0.21262886597938144
heavy-tail,2.5,49,721,987.1081830790569,291,4726,7734,0.20665742024965325
heavy-tail,2.5,50,745,833.5852348993288,280,4380,6425,0.17181208053691274
heavy-tail,2.5,51,773,872.1694695989651,278,3965,8000,0.1927554980595084
heavy-tail,2.5,52,779,999.0924261874197,302,4927,8000,0.220795892169448
heavy-tail,2.5,53,774,977.0426356589147,288,4514,7724,0.21705426356589147
heavy-tail,2.5,54,777,939.5611325611326,272,4809,8000,0.1969111969111969
heavy-tail,2.5,55,706,884.3229461756374,271,4167,8000,0.17847025495750707
heavy-tail,2.5,56,768,901.7356770833334,288,4917,7394,0.18229166666666666
heavy-tail,2.5,57,708,923.3855932203389,282,4305,8000,0.2076271186440678
heavy-tail,2.5,58,734,909.6021798365123,280,4646,7555,0.1907356948228883
heavy-tail,2.5,59,743,828.2987886944818,284,4153,7060,0.17765814266487215
heavy-tail,2.5,60,732,884.827868852459,274,4199,7152,0.20218579234972678
heavy-tail,2.5,61,758,998.1332453825858,285,5328,8000,0.20316622691292877
heavy-tail,2.5,62,748,880.5949197860963,281,4148,8000,0.19518716577540107
heavy-tail,2.5,63,736,1002.0366847826087,286,4903,7851,0.21331521739130435
heavy-tail,2.5,64,741,1004.3738191632929,293,4870,7477,0.2213225371120108
heavy-tail,2.5,65,756,975.8095238095239,281,4797,7847,0.21957671957671956
heavy-tail,2.5,66,736,1000.2635869565217,289,5293,8000,0.19293478260869565
heavy-tail,2.5,67,745,1048.2926174496645,277,5371,8000,0.22281879194630871
heavy-tail,2.5,68,722,894.8102493074792,283,4107,7571,0.19113573407202217
heavy-tail,2.5,69,714,1118.03081232493,288,5943,8000,0.21568627450980393
heavy-tail,2.5,70,729,878.7119341563786,265,4491,7676,0.18381344307270234
heavy-tail,2.5,71,767,988.4367666232073,300,4939,8000,0.2138200782268579
heavy-tail,2.5,72,762,941.1456692913385,288,5007,8000,0.19028871391076116
heavy-tail,2.5,73,738,951.710027100271,285,4379,7270,0.21544715447154472
heavy-tail,2.5,74,710,981.2760563380282,289,4484,8000,0.20704225352112676
heavy-tail,2.5,75,789,935.169835234474,288,4897,7743,0.18631178707224336
heavy-tail,2.5,76,714,1038.313725490196,299,5000,7066,0.22549019607843138
heavy-tail,2.5,77,759,879.9143610013175,280,4380,8000,0.18050065876152832
heavy-tail,2.5,78,711,985.4022503516175,286,5109,8000,0.19831223628691982
heavy-tail,2.5,79,760,1067.2710526315789,297,5251,8000,0.23421052631578948
heavy-tail,4,0,1217,845.1216105176663,274,4272,6701,0.1799506984387839
heavy-tail,4,1,1094,894.7769652650823,280,4481,8000,0.18372943327239488
heavy-tail,4,2,1176,1021.1471088435375,306,4755,7880,0.2193877551020408
heavy-tail,4,3,1161,921.8242894056848,288,4443,7238,0.19982773471145565
heavy-tail,4,4,1207,909.7754763877382,272,4348,8000,0.19138359569179786
heavy-tail,4,5,1197,951.5121136173768,292,4655,8000,0.2046783625730994
heavy-tail,4,6,1218,916.4014778325123,280,4441,8000,0.20032840722495895
heavy-tail,4,7,1267,890.9076558800316,278,4613,8000,0.18389897395422258
heavy-tail,4,8,1197,918.6624895572264,280,4564,7846,0.19131161236424393
heavy-tail,4,9,1165,949.543347639485,287,4749,8000,0.19570815450643778
heavy-tail,4,10,1219,1032.5422477440525,297,5049,7932,0.22149302707136997
heavy-tail,4,11,1168,907.3304794520548,286,4522,6903,0.1875
heavy-tail,4,12,1195,907.8786610878661,283,4570,7162,0.19246861924686193
heavy-tail,4,13,1205,967.1477178423237,297,4565,7944,0.2016597510373444
heavy-tail,4,14,1195,939.6945606694561,299,4668,6843,0.19748953974895397
heavy-tail,4,15,1184,1009.9070945945946,282,5162,8000,0.21114864864864866
heavy-tail,4,16,1223,961.5560098119379,280,4730,7397,0.205233033524121
heavy-tail,4,17,1189,1055.7140454163161,291,4898,8000,0.216148023549201
heavy-tail,4,18,1147,906.1700087183958,278,4306,7980,0.1987794245858762
heavy-tail,4,19,1194,874.2269681742043,284,3996,7568,0.19179229480737017
heavy-tail,4,20,1227,898.2640586797066,286,4325,7717,0.20048899755501223
heavy-tail,4,21,1215,942.1407407407407,287,4555,8000,0.19176954732510287
heavy-tail,4,22,1190,828.2058823529412,268,4287,7655,0.1638655462184874
heavy-tail,4,23,1140,989.9315789473684,293,5038,8000,0.19210526315789472
heavy-tail,4,24,1171,975.99487617421,287,5179,8000,0.19982920580700256
heavy-tail,4,25,1218,967.6371100164204,306,4731,7789,0.19704433497536947
heavy-tail,4,26,1214,912.3146622734761,283,4462,6984,0.19439868204283361
heavy-tail,4,27,1285,980.6669260700389,281,4526,8000,0.2171206225680934
heavy-tail,4,28,1206,891.0240464344942,276,4443,7140,0.1857379767827529
heavy-tail,4,29,1265,969.2363636363636,288,4658,8000,0.20711462450592885
heavy-tail,4,30,1200,874.8333333333334,275,4432,7536,0.18333333333333332
heavy-tail,4,31,1229,930.5427176566315,282,4523,7973,0.19446704637917006
